disk_uid,disk_capacity,disk_attr,disk_type,user_type,vm_cpu,vm_memory
7d5a60ed-94d5-44be-9731-09e672aca6cb,100,1,0,1,64,128
98f1b327-8dd0-4508-8d39-de2923976966,100,1,0,1,64,128
4aec5286-53cc-4dc1-a7a3-ba1fc9dd63e5,100,1,0,1,64,128
72720d43-36b8-45c0-a3c1-32c3f4adb060,100,1,0,1,64,128
07894d54-0865-456a-a6ba-d3c09ea9fb30,100,1,0,1,32,128
2df49e83-1e68-420f-ba2c-7e9b1725311c,100,1,0,1,32,128
d9a24de9-a208-4769-8599-7c1d1dadbf18,100,1,0,1,32,128
e15a9bb6-e60c-4c88-becf-66b6e3b85eac,100,1,0,1,32,128
430ce9ca-77e4-4d34-82c0-a798ed61d090,100,1,0,1,32,64
9022a114-3c04-47ae-80af-04cff96a4243,100,1,0,1,32,64
aa13646a-61a4-4cab-96aa-b0dbae05ad05,100,1,0,1,32,64
beca2f6d-2b05-4b91-842c-5d8f5bb8ab84,100,1,0,1,32,64
e2625fe7-375a-4949-83af-abad0e0aca17,100,1,0,1,32,64
eb80c17a-e10f-440e-a0de-ba0f700b0c5d,100,1,0,1,32,64
7c22276f-71d8-4c74-a032-fa7b8ecbea3f,40,0,0,0,2,4
d14f5536-cde6-45be-90c8-efa9126085f2,100,1,0,1,32,64
389ec34c-9c21-40d1-a4b4-39b77390ac57,100,1,0,1,32,64
7c6f46a0-9157-44dd-a720-aae2f6d374d1,100,1,0,1,16,32
efe305da-7ba5-4108-9ad6-4ecb95007ce2,100,1,0,1,16,32
72f9007f-b3e9-4dd3-96eb-0a47dd7216f0,100,1,0,1,16,32
98418aab-4660-47bf-93f9-543f42ac90a0,100,1,0,1,16,32
b777d9c7-3b6c-4c91-868d-87aaa1631cb4,100,1,0,1,16,32
b967d7fd-9944-4509-860e-c177ebd535a7,100,1,0,1,16,32
a59b593f-8d7d-4c6d-8e9d-85d63184a397,100,1,0,1,16,32
dc73d692-38fa-41cd-ad77-c24db4f71257,100,1,0,1,16,32
ab52dd34-6379-4aa5-a50d-b9e4232e9653,100,1,0,1,16,32
f878a0b8-2d46-4e1a-9e21-acf308baec56,100,1,0,1,32,128
455f48bc-f66f-417d-ac73-2d014ab37d48,100,1,0,1,32,64
4a0befaa-c55a-43df-a030-a48a39393a96,100,1,0,1,32,64
94c4ab72-3aca-4b61-a920-f8ff6d633816,100,1,0,1,32,64
a9274e54-d7cf-4419-ad9b-650b5786453a,100,1,0,1,32,64
b06a6141-9d70-4ca6-92b5-b71fe51de623,100,1,0,1,32,64
f444e565-895e-4981-a60a-40f7a052e81b,100,1,0,1,32,64
47f82764-671b-4a58-a615-d12c122bd898,100,1,0,1,64,128
658b51df-e0a5-4068-8e93-c25d13e6d83f,100,1,0,1,32,64
0c8282d7-9c3f-414e-8fe3-85808b7c1ab2,100,1,0,1,32,128
8ee4468d-89fc-459a-9469-5d58843a3cca,100,1,0,1,64,256
93a9aed6-f9f7-4c86-837c-33fa569fe5a9,100,1,0,1,32,64
76da112e-da85-40f8-a7cf-89a5aada0152,100,1,0,1,16,32
15965c1f-5b1d-41de-aadd-f7cd4e4ee88c,100,1,0,1,16,32
24bee394-fb9a-4eea-b872-8ddde6009133,100,1,0,1,16,32
438d45b2-46ba-4b5c-8f63-40f49336538b,100,1,0,1,16,32
45c944b9-24d3-4c2b-a43a-84b81a2d6594,100,1,0,1,16,32
c9210153-9b5f-475e-b2fa-764e69d676c7,100,1,0,1,16,32
f6bcaf22-b8f3-462a-b373-2f90adb730be,100,1,0,1,16,32
d1ed3380-d0bd-4695-b796-297d207806fa,100,1,0,1,16,32
d4e57d07-6010-4b73-81ba-10c6b7813106,100,1,0,1,16,32
826f9250-d847-4c5c-a9b3-371ca009462d,10,1,0,0,1,2
ed46419a-9c5f-4b72-ba47-34b271174ce2,100,1,0,1,8,64
7dd0e971-accd-412a-9ee2-bc46b2efd3c0,100,1,0,1,32,64
4c525ff4-2bce-49bc-9d49-fde21c32889f,30,1,0,1,8,32
69a709a7-cab4-45b7-bfeb-9d794460cd9e,100,1,0,1,32,64
71d40aae-a6aa-418c-9f4b-d928f78fb6c1,100,1,0,1,32,64
02ac00e1-f0fb-4ce3-8df2-b0d6fa8d244d,100,1,0,1,32,64
383764a9-b462-47a0-9b92-c8ad42d4a6af,100,1,0,1,32,64
20a699e0-58bb-48aa-a513-632f04b51d7b,100,1,0,1,32,64
638d04e0-b0c7-4e07-a181-f6603466fe71,100,0,0,0,8,16
f4c999ef-5ade-4438-be3c-2b21f34d16cd,50,0,0,1,2,4
f8d3d178-85f7-42ac-b58d-ee07b966c479,100,0,0,0,4,8
f0cf5546-306a-480f-bf35-87941abb031b,100,1,0,1,32,64
73ca59ba-679b-4530-aa11-3de88bb3bc73,10,0,0,0,1,1
88268086-cf8b-463c-8386-2b00fe4750e4,50,1,0,0,4,8
e75375b2-0cd8-4628-abc6-8e3636658be0,50,0,0,0,2,4
75ce437a-bd2f-402c-8691-c385b4b27627,100,1,0,1,32,64
